state,election_date,parish_code,parish,precinct,race_id,votes_yes,votes_no,total,pct_yes,voters_qualified,voters_voted
LA,2005-01-15,01,Acadia,05/01A,3760,5,43,48,10.42,,
LA,2005-01-15,01,Acadia,05/01B,3760,3,15,18,16.67,,
LA,2005-01-15,01,Acadia,05/02A,3760,23,45,68,33.82,,
LA,2005-01-15,01,Acadia,05/02B,3760,2,9,11,18.18,,
LA,2005-01-15,01,Acadia,05/03,3760,14,29,43,32.56,,
LA,2005-01-15,01,Acadia,05/04,3760,7,38,45,15.56,,
LA,2005-01-15,01,Acadia,05/05,3760,10,26,36,27.78,,
LA,2005-01-15,01,Acadia,06/01,3760,11,81,92,11.96,,
LA,2005-01-15,01,Acadia,06/02,3760,13,117,130,10.0,,
LA,2005-01-15,01,Acadia,06/03A,3760,19,113,132,14.39,,
LA,2005-01-15,01,Acadia,06/03B,3760,15,88,103,14.56,,
LA,2005-01-15,01,Acadia,06/04,3760,15,116,131,11.45,,
LA,2005-01-15,01,Acadia,06/05,3760,3,34,37,8.11,,
LA,2005-01-15,01,Acadia,06/06,3760,8,48,56,14.29,,
LA,2005-01-15,01,Acadia,06/07,3760,22,78,100,22.0,,
LA,2005-01-15,01,Acadia,06/08,3760,22,100,122,18.03,,
LA,2005-01-15,01,Acadia,06/09,3760,11,60,71,15.49,,
LA,2005-01-15,01,Acadia,06/10,3760,9,38,47,19.15,,
LA,2005-01-15,01,Acadia,06/11,3760,17,69,86,19.77,,
LA,2005-01-15,01,Acadia,06/12,3760,30,113,143,20.98,,
LA,2005-01-15,01,Acadia,06/13,3760,13,91,104,12.5,,
LA,2005-01-15,01,Acadia,06/14,3760,20,106,126,15.87,,
LA,2005-01-15,01,Acadia,06/15,3760,8,52,60,13.33,,
LA,2005-01-15,01,Acadia,06/16,3760,16,50,66,24.24,,
LA,2005-01-15,01,Acadia,07/02,3760,9,35,44,20.45,,
LA,2005-01-15,01,Acadia,07/03,3760,4,70,74,5.41,,
LA,2005-01-15,01,Acadia,07/04,3760,7,53,60,11.67,,
LA,2005-01-15,01,Acadia,Early Voting,3760,53,232,285,18.6,,
LA,2005-01-15,01,Acadia,04/02,3761,67,67,134,50.0,,
LA,2005-01-15,01,Acadia,Early Voting,3761,1,1,2,50.0,,
LA,2005-01-15,01,Acadia,04/02,3762,65,67,132,49.24,,
LA,2005-01-15,01,Acadia,Early Voting,3762,1,1,2,50.0,,
LA,2005-01-15,02,Allen,01/01,3763,49,83,132,37.12,,
LA,2005-01-15,02,Allen,01/02,3763,32,29,61,52.46,,
LA,2005-01-15,02,Allen,01/03,3763,17,35,52,32.69,,
LA,2005-01-15,02,Allen,01/04,3763,28,43,71,39.44,,
LA,2005-01-15,02,Allen,01/05,3763,25,25,50,50.0,,
LA,2005-01-15,02,Allen,01/06,3763,22,46,68,32.35,,
LA,2005-01-15,02,Allen,01/07,3763,14,25,39,35.9,,
LA,2005-01-15,02,Allen,02/01,3763,16,50,66,24.24,,
LA,2005-01-15,02,Allen,02/02,3763,77,78,155,49.68,,
LA,2005-01-15,02,Allen,02/03,3763,29,37,66,43.94,,
LA,2005-01-15,02,Allen,02/04-C,3763,55,65,120,45.83,,
LA,2005-01-15,02,Allen,02/04-O,3763,56,66,122,45.9,,
LA,2005-01-15,02,Allen,02/05,3763,10,24,34,29.41,,
LA,2005-01-15,02,Allen,02/06,3763,30,46,76,39.47,,
LA,2005-01-15,02,Allen,02/06A,3763,6,11,17,35.29,,
LA,2005-01-15,02,Allen,03/01,3763,33,37,70,47.14,,
LA,2005-01-15,02,Allen,03/02,3763,76,43,119,63.87,,
LA,2005-01-15,02,Allen,04/01,3763,29,27,56,51.79,,
LA,2005-01-15,02,Allen,04/02,3763,90,19,109,82.57,,
LA,2005-01-15,02,Allen,04/03,3763,75,32,107,70.09,,
LA,2005-01-15,02,Allen,05/01,3763,22,22,44,50.0,,
LA,2005-01-15,02,Allen,05/02,3763,61,33,94,64.89,,
LA,2005-01-15,02,Allen,05/03,3763,26,83,109,23.85,,
LA,2005-01-15,02,Allen,05/04-C,3763,53,77,130,40.77,,
LA,2005-01-15,02,Allen,05/04-O,3763,44,56,100,44.0,,
LA,2005-01-15,02,Allen,05/05,3763,14,29,43,32.56,,
LA,2005-01-15,02,Allen,05/07,3763,44,29,73,60.27,,
LA,2005-01-15,02,Allen,05/08,3763,23,26,49,46.94,,
LA,2005-01-15,02,Allen,05/08A,3763,3,12,15,20.0,,
LA,2005-01-15,02,Allen,05/09,3763,47,64,111,42.34,,
LA,2005-01-15,02,Allen,05/10,3763,36,101,137,26.28,,
LA,2005-01-15,02,Allen,05/11,3763,10,32,42,23.81,,
LA,2005-01-15,02,Allen,05/12,3763,7,9,16,43.75,,
LA,2005-01-15,02,Allen,05/13,3763,0,0,0,,,
LA,2005-01-15,02,Allen,Early Voting,3763,51,80,131,38.93,,
LA,2005-01-15,02,Allen,03/01,3764,34,37,71,47.89,,
LA,2005-01-15,02,Allen,03/02,3764,81,38,119,68.07,,
LA,2005-01-15,02,Allen,Early Voting,3764,1,4,5,20.0,,
LA,2005-01-15,02,Allen,01/03,3765,0,0,0,,,
LA,2005-01-15,02,Allen,01/07,3765,0,0,0,,,
LA,2005-01-15,02,Allen,04/01,3765,32,24,56,57.14,,
LA,2005-01-15,02,Allen,04/02,3765,88,19,107,82.24,,
LA,2005-01-15,02,Allen,04/03,3765,79,26,105,75.24,,
LA,2005-01-15,02,Allen,05/02,3765,13,6,19,68.42,,
LA,2005-01-15,02,Allen,05/05,3765,0,0,0,,,
LA,2005-01-15,02,Allen,Early Voting,3765,3,5,8,37.5,,
LA,2005-01-15,02,Allen,01/02,3766,0,0,0,,,
LA,2005-01-15,02,Allen,05/01,3766,20,24,44,45.45,,
LA,2005-01-15,02,Allen,05/03,3766,24,89,113,21.24,,
LA,2005-01-15,02,Allen,05/04-C,3766,54,76,130,41.54,,
LA,2005-01-15,02,Allen,05/04-O,3766,38,47,85,44.71,,
LA,2005-01-15,02,Allen,05/05,3766,4,16,20,20.0,,
LA,2005-01-15,02,Allen,05/07,3766,43,29,72,59.72,,
LA,2005-01-15,02,Allen,05/08,3766,23,27,50,46.0,,
LA,2005-01-15,02,Allen,05/08A,3766,3,12,15,20.0,,
LA,2005-01-15,02,Allen,05/09,3766,42,68,110,38.18,,
LA,2005-01-15,02,Allen,05/10,3766,36,101,137,26.28,,
LA,2005-01-15,02,Allen,05/11,3766,10,32,42,23.81,,
LA,2005-01-15,02,Allen,05/12,3766,5,12,17,29.41,,
LA,2005-01-15,02,Allen,05/13,3766,0,0,0,,,
LA,2005-01-15,02,Allen,Early Voting,3766,12,11,23,52.17,,
LA,2005-01-15,02,Allen,01/03,3767,0,0,0,,,
LA,2005-01-15,02,Allen,02/01,3767,0,0,0,,,
LA,2005-01-15,02,Allen,02/02,3767,78,79,157,49.68,,
LA,2005-01-15,02,Allen,02/03,3767,31,36,67,46.27,,
LA,2005-01-15,02,Allen,02/04-C,3767,62,58,120,51.67,,
LA,2005-01-15,02,Allen,02/04-O,3767,60,63,123,48.78,,
LA,2005-01-15,02,Allen,02/05,3767,9,26,35,25.71,,
LA,2005-01-15,02,Allen,02/06,3767,29,46,75,38.67,,
LA,2005-01-15,02,Allen,02/06A,3767,7,10,17,41.18,,
LA,2005-01-15,02,Allen,Early Voting,3767,9,12,21,42.86,,
LA,2005-01-15,02,Allen,01/01,3768,51,82,133,38.35,,
LA,2005-01-15,02,Allen,01/02,3768,33,32,65,50.77,,
LA,2005-01-15,02,Allen,01/03,3768,20,36,56,35.71,,
LA,2005-01-15,02,Allen,01/04,3768,28,45,73,38.36,,
LA,2005-01-15,02,Allen,01/05,3768,24,27,51,47.06,,
LA,2005-01-15,02,Allen,01/06,3768,22,49,71,30.99,,
LA,2005-01-15,02,Allen,01/07,3768,13,27,40,32.5,,
LA,2005-01-15,02,Allen,02/01,3768,0,0,0,,,
LA,2005-01-15,02,Allen,02/06,3768,0,0,0,,,
LA,2005-01-15,02,Allen,04/02,3768,0,0,0,,,
LA,2005-01-15,02,Allen,04/03,3768,0,0,0,,,
LA,2005-01-15,02,Allen,05/04-O,3768,0,7,7,0.0,,
LA,2005-01-15,02,Allen,05/05,3768,0,0,0,,,
LA,2005-01-15,02,Allen,Early Voting,3768,27,46,73,36.99,,
LA,2005-01-15,03,Ascension,00/45,3769,20,2,22,90.91,,
LA,2005-01-15,03,Ascension,00/46,3769,13,4,17,76.47,,
LA,2005-01-15,03,Ascension,00/47,3769,39,7,46,84.78,,
LA,2005-01-15,03,Ascension,00/48,3769,3,7,10,30.0,,
LA,2005-01-15,03,Ascension,00/49,3769,34,21,55,61.82,,
LA,2005-01-15,03,Ascension,00/50,3769,17,2,19,89.47,,
LA,2005-01-15,03,Ascension,00/51,3769,19,3,22,86.36,,
LA,2005-01-15,03,Ascension,00/52,3769,22,9,31,70.97,,
LA,2005-01-15,03,Ascension,00/53,3769,29,8,37,78.38,,
LA,2005-01-15,03,Ascension,00/54,3769,39,14,53,73.58,,
LA,2005-01-15,03,Ascension,00/55,3769,15,2,17,88.24,,
LA,2005-01-15,03,Ascension,00/56,3769,2,0,2,100.0,,
LA,2005-01-15,03,Ascension,00/57,3769,14,0,14,100.0,,
LA,2005-01-15,03,Ascension,Early Voting,3769,26,5,31,83.87,,
LA,2005-01-15,05,Avoyelles,01/01,3770,55,37,92,59.78,,
LA,2005-01-15,05,Avoyelles,01/02,3770,46,30,76,60.53,,
LA,2005-01-15,05,Avoyelles,02/01,3770,49,27,76,64.47,,
LA,2005-01-15,05,Avoyelles,02/01A,3770,7,8,15,46.67,,
LA,2005-01-15,05,Avoyelles,02/02,3770,41,25,66,62.12,,
LA,2005-01-15,05,Avoyelles,02/03,3770,24,10,34,70.59,,
LA,2005-01-15,05,Avoyelles,02/04,3770,82,36,118,69.49,,
LA,2005-01-15,05,Avoyelles,02/04A,3770,72,12,84,85.71,,
LA,2005-01-15,05,Avoyelles,02/04B,3770,20,11,31,64.52,,
LA,2005-01-15,05,Avoyelles,02/04D,3770,15,16,31,48.39,,
LA,2005-01-15,05,Avoyelles,02/05,3770,39,33,72,54.17,,
LA,2005-01-15,05,Avoyelles,02/05A,3770,8,7,15,53.33,,
LA,2005-01-15,05,Avoyelles,02/07,3770,15,9,24,62.5,,
LA,2005-01-15,05,Avoyelles,02/07B,3770,1,1,2,50.0,,
LA,2005-01-15,05,Avoyelles,02/08,3770,40,17,57,70.18,,
LA,2005-01-15,05,Avoyelles,03/01,3770,44,13,57,77.19,,
LA,2005-01-15,05,Avoyelles,03/01B,3770,5,3,8,62.5,,
LA,2005-01-15,05,Avoyelles,03/02A,3770,19,7,26,73.08,,
LA,2005-01-15,05,Avoyelles,03/03,3770,26,8,34,76.47,,
LA,2005-01-15,05,Avoyelles,04/01,3770,37,15,52,71.15,,
LA,2005-01-15,05,Avoyelles,04/02,3770,31,26,57,54.39,,
LA,2005-01-15,05,Avoyelles,04/03,3770,25,12,37,67.57,,
LA,2005-01-15,05,Avoyelles,04/04,3770,33,10,43,76.74,,
LA,2005-01-15,05,Avoyelles,05/01,3770,46,35,81,56.79,,
LA,2005-01-15,05,Avoyelles,05/02,3770,21,27,48,43.75,,
LA,2005-01-15,05,Avoyelles,06/01A,3770,44,23,67,65.67,,
LA,2005-01-15,05,Avoyelles,06/02,3770,24,14,38,63.16,,
LA,2005-01-15,05,Avoyelles,07/01,3770,40,21,61,65.57,,
LA,2005-01-15,05,Avoyelles,07/02,3770,19,6,25,76.0,,
LA,2005-01-15,05,Avoyelles,07/03,3770,18,2,20,90.0,,
LA,2005-01-15,05,Avoyelles,07/03A,3770,5,8,13,38.46,,
LA,2005-01-15,05,Avoyelles,08/01,3770,34,5,39,87.18,,
LA,2005-01-15,05,Avoyelles,08/02,3770,18,21,39,46.15,,
LA,2005-01-15,05,Avoyelles,08/03,3770,16,3,19,84.21,,
LA,2005-01-15,05,Avoyelles,08/03A,3770,68,13,81,83.95,,
LA,2005-01-15,05,Avoyelles,09/01,3770,28,11,39,71.79,,
LA,2005-01-15,05,Avoyelles,09/01C,3770,19,5,24,79.17,,
LA,2005-01-15,05,Avoyelles,09/02,3770,12,10,22,54.55,,
LA,2005-01-15,05,Avoyelles,09/03,3770,32,13,45,71.11,,
LA,2005-01-15,05,Avoyelles,09/04,3770,68,20,88,77.27,,
LA,2005-01-15,05,Avoyelles,09/05,3770,28,20,48,58.33,,
LA,2005-01-15,05,Avoyelles,09/06,3770,17,24,41,41.46,,
LA,2005-01-15,05,Avoyelles,10/02,3770,66,32,98,67.35,,
LA,2005-01-15,05,Avoyelles,10/03,3770,25,12,37,67.57,,
LA,2005-01-15,05,Avoyelles,10/04,3770,17,11,28,60.71,,
LA,2005-01-15,05,Avoyelles,10/05,3770,3,0,3,100.0,,
LA,2005-01-15,05,Avoyelles,10/05A,3770,14,12,26,53.85,,
LA,2005-01-15,05,Avoyelles,10/05C,3770,5,0,5,100.0,,
LA,2005-01-15,05,Avoyelles,11/01,3770,62,13,75,82.67,,
LA,2005-01-15,05,Avoyelles,11/02A,3770,16,13,29,55.17,,
LA,2005-01-15,05,Avoyelles,Early Voting,3770,67,49,116,57.76,,
LA,2005-01-15,05,Avoyelles,01/01,3771,51,41,92,55.43,,
LA,2005-01-15,05,Avoyelles,01/02,3771,43,33,76,56.58,,
LA,2005-01-15,05,Avoyelles,02/01,3771,39,35,74,52.7,,
LA,2005-01-15,05,Avoyelles,02/01A,3771,7,8,15,46.67,,
LA,2005-01-15,05,Avoyelles,02/02,3771,40,24,64,62.5,,
LA,2005-01-15,05,Avoyelles,02/03,3771,19,15,34,55.88,,
LA,2005-01-15,05,Avoyelles,02/04,3771,67,51,118,56.78,,
LA,2005-01-15,05,Avoyelles,02/04A,3771,61,23,84,72.62,,
LA,2005-01-15,05,Avoyelles,02/04B,3771,17,14,31,54.84,,
LA,2005-01-15,05,Avoyelles,02/04D,3771,10,20,30,33.33,,
LA,2005-01-15,05,Avoyelles,02/05,3771,29,43,72,40.28,,
LA,2005-01-15,05,Avoyelles,02/05A,3771,7,8,15,46.67,,
LA,2005-01-15,05,Avoyelles,02/07,3771,15,10,25,60.0,,
LA,2005-01-15,05,Avoyelles,02/07B,3771,0,2,2,0.0,,
LA,2005-01-15,05,Avoyelles,02/08,3771,28,28,56,50.0,,
LA,2005-01-15,05,Avoyelles,03/01,3771,42,14,56,75.0,,
LA,2005-01-15,05,Avoyelles,03/01B,3771,5,3,8,62.5,,
LA,2005-01-15,05,Avoyelles,03/02A,3771,16,10,26,61.54,,
LA,2005-01-15,05,Avoyelles,03/03,3771,19,13,32,59.38,,
LA,2005-01-15,05,Avoyelles,04/01,3771,36,16,52,69.23,,
LA,2005-01-15,05,Avoyelles,04/02,3771,25,32,57,43.86,,
LA,2005-01-15,05,Avoyelles,04/03,3771,23,14,37,62.16,,
LA,2005-01-15,05,Avoyelles,04/04,3771,30,13,43,69.77,,
LA,2005-01-15,05,Avoyelles,05/01,3771,38,43,81,46.91,,
LA,2005-01-15,05,Avoyelles,05/02,3771,18,30,48,37.5,,
LA,2005-01-15,05,Avoyelles,06/01A,3771,41,26,67,61.19,,
LA,2005-01-15,05,Avoyelles,06/02,3771,22,16,38,57.89,,
LA,2005-01-15,05,Avoyelles,07/01,3771,31,28,59,52.54,,
LA,2005-01-15,05,Avoyelles,07/02,3771,16,10,26,61.54,,
LA,2005-01-15,05,Avoyelles,07/03,3771,14,6,20,70.0,,
LA,2005-01-15,05,Avoyelles,07/03A,3771,5,8,13,38.46,,
LA,2005-01-15,05,Avoyelles,08/01,3771,28,11,39,71.79,,
LA,2005-01-15,05,Avoyelles,08/02,3771,14,25,39,35.9,,
LA,2005-01-15,05,Avoyelles,08/03,3771,14,5,19,73.68,,
LA,2005-01-15,05,Avoyelles,08/03A,3771,55,26,81,67.9,,
LA,2005-01-15,05,Avoyelles,09/01,3771,22,16,38,57.89,,
LA,2005-01-15,05,Avoyelles,09/01C,3771,16,8,24,66.67,,
LA,2005-01-15,05,Avoyelles,09/02,3771,7,15,22,31.82,,
LA,2005-01-15,05,Avoyelles,09/03,3771,20,25,45,44.44,,
LA,2005-01-15,05,Avoyelles,09/04,3771,60,28,88,68.18,,
LA,2005-01-15,05,Avoyelles,09/05,3771,21,27,48,43.75,,
LA,2005-01-15,05,Avoyelles,09/06,3771,13,29,42,30.95,,
LA,2005-01-15,05,Avoyelles,10/02,3771,59,39,98,60.2,,
LA,2005-01-15,05,Avoyelles,10/03,3771,23,14,37,62.16,,
LA,2005-01-15,05,Avoyelles,10/04,3771,12,16,28,42.86,,
LA,2005-01-15,05,Avoyelles,10/05,3771,3,0,3,100.0,,
LA,2005-01-15,05,Avoyelles,10/05A,3771,11,15,26,42.31,,
LA,2005-01-15,05,Avoyelles,10/05C,3771,5,0,5,100.0,,
LA,2005-01-15,05,Avoyelles,11/01,3771,53,23,76,69.74,,
LA,2005-01-15,05,Avoyelles,11/02A,3771,14,15,29,48.28,,
LA,2005-01-15,05,Avoyelles,Early Voting,3771,59,56,115,51.3,,
LA,2005-01-15,07,Bienville,01/01,3772,17,5,22,77.27,,
LA,2005-01-15,07,Bienville,01/02,3772,30,8,38,78.95,,
LA,2005-01-15,07,Bienville,01/03,3772,15,7,22,68.18,,
LA,2005-01-15,07,Bienville,02/01,3772,14,4,18,77.78,,
LA,2005-01-15,07,Bienville,02/02,3772,21,8,29,72.41,,
LA,2005-01-15,07,Bienville,02/03,3772,12,6,18,66.67,,
LA,2005-01-15,07,Bienville,03/01,3772,30,7,37,81.08,,
LA,2005-01-15,07,Bienville,03/02,3772,25,8,33,75.76,,
LA,2005-01-15,07,Bienville,03/03,3772,6,6,12,50.0,,
LA,2005-01-15,07,Bienville,03/04,3772,21,1,22,95.45,,
LA,2005-01-15,07,Bienville,03/05,3772,6,0,6,100.0,,
LA,2005-01-15,07,Bienville,04/01,3772,34,12,46,73.91,,
LA,2005-01-15,07,Bienville,04/02,3772,12,2,14,85.71,,
LA,2005-01-15,07,Bienville,04/04,3772,49,6,55,89.09,,
LA,2005-01-15,07,Bienville,05/01,3772,24,5,29,82.76,,
LA,2005-01-15,07,Bienville,05/02,3772,18,13,31,58.06,,
LA,2005-01-15,07,Bienville,05/03,3772,21,7,28,75.0,,
LA,2005-01-15,07,Bienville,05/04,3772,15,1,16,93.75,,
LA,2005-01-15,07,Bienville,06/01,3772,26,9,35,74.29,,
LA,2005-01-15,07,Bienville,06/02,3772,14,5,19,73.68,,
LA,2005-01-15,07,Bienville,06/03,3772,38,8,46,82.61,,
LA,2005-01-15,07,Bienville,06/04,3772,27,12,39,69.23,,
LA,2005-01-15,07,Bienville,07/01,3772,42,13,55,76.36,,
LA,2005-01-15,07,Bienville,07/02,3772,34,10,44,77.27,,
LA,2005-01-15,07,Bienville,07/03,3772,16,12,28,57.14,,
LA,2005-01-15,07,Bienville,07/04,3772,30,21,51,58.82,,
LA,2005-01-15,07,Bienville,Early Voting,3772,42,9,51,82.35,,
LA,2005-01-15,09,Caddo,00/056A,3773,0,0,0,,,
LA,2005-01-15,09,Caddo,00/056B,3773,0,0,0,,,
LA,2005-01-15,09,Caddo,00/075,3773,4,2,6,66.67,,
LA,2005-01-15,09,Caddo,00/077A,3773,0,0,0,,,
LA,2005-01-15,09,Caddo,00/077B,3773,0,0,0,,,
LA,2005-01-15,09,Caddo,00/097A,3773,2,0,2,100.0,,
LA,2005-01-15,09,Caddo,00/097B,3773,9,0,9,100.0,,
LA,2005-01-15,09,Caddo,00/127,3773,41,12,53,77.36,,
LA,2005-01-15,09,Caddo,00/128A,3773,39,10,49,79.59,,
LA,2005-01-15,09,Caddo,00/128B,3773,42,14,56,75.0,,
LA,2005-01-15,09,Caddo,Early Voting,3773,10,1,11,90.91,,
LA,2005-01-15,09,Caddo,00/056A,3774,0,0,0,,,
LA,2005-01-15,09,Caddo,00/056B,3774,0,0,0,,,
LA,2005-01-15,09,Caddo,00/075,3774,4,2,6,66.67,,
LA,2005-01-15,09,Caddo,00/077A,3774,0,0,0,,,
LA,2005-01-15,09,Caddo,00/077B,3774,0,0,0,,,
LA,2005-01-15,09,Caddo,00/097A,3774,2,0,2,100.0,,
LA,2005-01-15,09,Caddo,00/097B,3774,10,0,10,100.0,,
LA,2005-01-15,09,Caddo,00/127,3774,42,11,53,79.25,,
LA,2005-01-15,09,Caddo,00/128A,3774,36,12,48,75.0,,
LA,2005-01-15,09,Caddo,00/128B,3774,35,21,56,62.5,,
LA,2005-01-15,09,Caddo,Early Voting,3774,10,2,12,83.33,,
LA,2005-01-15,10,Calcasieu,00/160E,3775,35,7,42,83.33,,
LA,2005-01-15,10,Calcasieu,00/160W,3775,10,4,14,71.43,,
LA,2005-01-15,10,Calcasieu,00/161,3775,30,16,46,65.22,,
LA,2005-01-15,10,Calcasieu,00/162,3775,120,41,161,74.53,,
LA,2005-01-15,10,Calcasieu,00/163,3775,47,29,76,61.84,,
LA,2005-01-15,10,Calcasieu,00/164,3775,16,6,22,72.73,,
LA,2005-01-15,10,Calcasieu,00/165,3775,74,25,99,74.75,,
LA,2005-01-15,10,Calcasieu,00/166,3775,91,27,118,77.12,,
LA,2005-01-15,10,Calcasieu,00/167,3775,67,23,90,74.44,,
LA,2005-01-15,10,Calcasieu,00/260,3775,40,7,47,85.11,,
LA,2005-01-15,10,Calcasieu,00/261,3775,36,13,49,73.47,,
LA,2005-01-15,10,Calcasieu,00/262,3775,38,18,56,67.86,,
LA,2005-01-15,10,Calcasieu,00/300,3775,53,5,58,91.38,,
LA,2005-01-15,10,Calcasieu,00/301,3775,41,10,51,80.39,,
LA,2005-01-15,10,Calcasieu,00/302,3775,33,7,40,82.5,,
LA,2005-01-15,10,Calcasieu,00/303,3775,32,8,40,80.0,,
LA,2005-01-15,10,Calcasieu,00/304,3775,36,8,44,81.82,,
LA,2005-01-15,10,Calcasieu,00/305,3775,37,8,45,82.22,,
LA,2005-01-15,10,Calcasieu,00/306,3775,131,12,143,91.61,,
LA,2005-01-15,10,Calcasieu,00/307,3775,9,0,9,100.0,,
LA,2005-01-15,10,Calcasieu,00/308,3775,30,4,34,88.24,,
LA,2005-01-15,10,Calcasieu,00/309E,3775,9,3,12,75.0,,
LA,2005-01-15,10,Calcasieu,00/309W,3775,22,5,27,81.48,,
LA,2005-01-15,10,Calcasieu,00/310,3775,47,3,50,94.0,,
LA,2005-01-15,10,Calcasieu,00/311,3775,19,6,25,76.0,,
LA,2005-01-15,10,Calcasieu,00/312,3775,72,10,82,87.8,,
LA,2005-01-15,10,Calcasieu,00/313E,3775,1,0,1,100.0,,
LA,2005-01-15,10,Calcasieu,00/313W,3775,20,5,25,80.0,,
LA,2005-01-15,10,Calcasieu,00/314,3775,63,5,68,92.65,,
LA,2005-01-15,10,Calcasieu,00/315E,3775,30,7,37,81.08,,
LA,2005-01-15,10,Calcasieu,00/315W,3775,43,0,43,100.0,,
LA,2005-01-15,10,Calcasieu,00/316E,3775,28,4,32,87.5,,
LA,2005-01-15,10,Calcasieu,00/316W,3775,32,2,34,94.12,,
LA,2005-01-15,10,Calcasieu,00/317,3775,43,8,51,84.31,,
LA,2005-01-15,10,Calcasieu,00/318,3775,43,5,48,89.58,,
LA,2005-01-15,10,Calcasieu,00/319,3775,37,2,39,94.87,,
LA,2005-01-15,10,Calcasieu,00/320,3775,62,12,74,83.78,,
LA,2005-01-15,10,Calcasieu,00/321,3775,49,7,56,87.5,,
LA,2005-01-15,10,Calcasieu,00/322,3775,77,5,82,93.9,,
LA,2005-01-15,10,Calcasieu,00/323,3775,50,8,58,86.21,,
LA,2005-01-15,10,Calcasieu,00/324,3775,41,8,49,83.67,,
LA,2005-01-15,10,Calcasieu,00/325,3775,94,23,117,80.34,,
LA,2005-01-15,10,Calcasieu,00/326,3775,104,10,114,91.23,,
LA,2005-01-15,10,Calcasieu,00/327,3775,36,10,46,78.26,,
LA,2005-01-15,10,Calcasieu,00/328,3775,76,10,86,88.37,,
LA,2005-01-15,10,Calcasieu,00/329,3775,51,4,55,92.73,,
LA,2005-01-15,10,Calcasieu,00/330,3775,49,2,51,96.08,,
LA,2005-01-15,10,Calcasieu,00/331,3775,81,14,95,85.26,,
LA,2005-01-15,10,Calcasieu,00/332N,3775,38,3,41,92.68,,
LA,2005-01-15,10,Calcasieu,00/332S,3775,41,9,50,82.0,,
LA,2005-01-15,10,Calcasieu,00/333,3775,94,16,110,85.45,,
LA,2005-01-15,10,Calcasieu,00/334,3775,42,8,50,84.0,,
LA,2005-01-15,10,Calcasieu,00/335,3775,72,4,76,94.74,,
LA,2005-01-15,10,Calcasieu,00/336,3775,77,6,83,92.77,,
LA,2005-01-15,10,Calcasieu,00/337,3775,92,16,108,85.19,,
LA,2005-01-15,10,Calcasieu,00/338,3775,98,14,112,87.5,,
LA,2005-01-15,10,Calcasieu,00/339,3775,145,27,172,84.3,,
LA,2005-01-15,10,Calcasieu,00/360,3775,41,15,56,73.21,,
LA,2005-01-15,10,Calcasieu,00/361,3775,25,7,32,78.12,,
LA,2005-01-15,10,Calcasieu,00/362,3775,95,23,118,80.51,,
LA,2005-01-15,10,Calcasieu,00/363,3775,141,26,167,84.43,,
LA,2005-01-15,10,Calcasieu,00/364,3775,61,14,75,81.33,,
LA,2005-01-15,10,Calcasieu,00/365,3775,27,20,47,57.45,,
