election_date,parish_code,parish,race_id,specific_title,summary_text,full_text,votes_yes,votes_no,pct_yes,voters_qualified,voters_voted,result
2005-01-15,10,Calcasieu,3775,Chennault International -- PW - 5.45 Mill - BOC - 10 Yrs.,"CHENNAULT INTERNATIONAL AIRPORT AUTHORITY PROPOSITION  SUMMARY:  AUTHORIZATION FOR THE CHENNAULT INTERNATIONAL AIRPORT AUTHORITY TO SEEK RENEWAL OF A TAX OF FIVE AND FORTY-FIVE HUNDRETHS (5.45) MILLS ON THE DOLLAR OF ASSESSED VALUATION ON ALL PROPERTY SUBJECT TO TAXATION FOR A PERIOD OF TEN (10) YEARS, FOR INDUSTRIAL, COMMERCIAL, AND ECONOMIC DEVELOPMENT PURPOSES.","Authorizes the Chennault International Airport Authority to levy and collect a tax not to exceed five and forty-five hundreths (5.45) mills on the dollar of assessed valuation on all property subject to taxation in the Parish of Calcasieu, State of Louisiana, said tax to run for a period of ten (10) years beginning with the year 2006, for industrial, commercial, and economic development purposes within the district (Calcasieu Parish), including the purpose of paying the cost of maintaining, operating, relocating, constructing, or improving industrial properties or airport facilities of the Chennault International Airport Authority, constituting works of permanent public improvement, title to which shall be in the public. incidental thereto?",5928,1391,80.99,-1,-1,Pass
2005-01-15,10,Calcasieu,3776,Parishwide -- 2.41 Mill - Police Jury - 10 Yrs.,"PARISHWIDE PROPOSITION (MOSQUITO CONTROL TAX)  SUMMARY:  LEVY AND COLLECTION OF A 2.41 MILL PROPERTY TAX FOR TEN (10) YEARS, FOR THE PURPOSE OF MAINTAINING AND OPERATING THE FACILITIES AND SERVICES OF THE CALCASIEU PARISH MOSQUITO CONTROL PROGRAM, AS WELL AS IMPROVING OR CONSTRUCTING MOSQUITO CONTROL FACILITIES.","Shall the Calcasieu Parish Police Jury, the governing authority of Calcasieu Parish, Louisiana, levy and collect a 2.41 mill special tax on all properties within the boundaries of the Parish for a period of ten (10) years, beginning in 2005, for the purpose of maintaining and operating the facilities and services of the Calcasieu Parish Mosquito Control Program, as well as improving or constructing mosquito control facilities?",6599,747,89.83,-1,-1,Pass
2005-01-15,11,Caldwell,3777,"Cons. Sch. District No. 1 -- PW - $11,000,000 Bond - Sch. Bd. - 20 Yr.","CONSOLIDATED SCHOOL DISTRICT NUMBER ONE PROPOSITION  SUMMARY:  TO AUTHORIZE $11,000,000 OF 20-YEAR GENERAL OBLIGATION SCHOOL BONDS OF CONSOLIDATED SCHOOL DISTRICT NUMBER ONE OF CALDWELL PARISH FOR THE PURPOSE OF ACQUIRING AND/OR IMPROVING LANDS FOR BUILDING SITES AND PLAYGROUNDS, INCLUDING CONSTRUCTION OF NECESSARY SIDEWALKS AND STREETS ADJACENT THERETO; PURCHASING, ERECTING AND/OR IMPROVING SCHOOL BUILDINGS AND OTHER SCHOOL RELATED FACILITIES WITHIN AND FOR THE DISTRICT AND ACQUIRING THE NECESSARY EQUIPMENT AND FURNISHINGS THEREFOR, TITLE TO WHICH SHALL BE IN THE PUBLIC, SAID BONDS TO BE PAYABLE FROM AD VALOREM TAXES.","Shall Consolidated School District Number One of Caldwell Parish, Louisiana (the ""District""), incur debt and issue bonds to the amount of Eleven Million Dollars ($11,000,000), to run twenty (20) years from date thereof, with interest at a rate not exceeding eight per centum (8%) per annum, for the purpose of acquiring and/or improving lands for building sites and playgrounds, including construction of necessary sidewalks and streets adjacent thereto; purchasing, erecting and/or improving school buildings and other school related facilities within and for the District and acquiring the necessary equipment and furnishings therefor, title to which shall be in the public; which bonds will be general obligations of the District and will be payable from ad valorem taxes to be levied and collected in the manner provided by Article VI, Section 33 of the Constitution of the State of Louisiana of 1974 and statutory authority supplemental thereto?",645,1372,31.98,-1,-1,Fail
2005-01-15,15,Concordia,3778,Parishwide -- 1/4% S&U - Police Jury - 10 Yrs.,"PARISHWIDE PROPOSITION  (SALES TAX RENEWAL)  SUMMARY:  RENEWAL OF A 1/4% SALES AND USE TAX OF THE PARISH OF CONCORDIA FOR 10 YEARS FOR EXTENDING, IMPROVING, MAINTAINING AND/OR OPERATING THE PARISHWIDE HOSPITAL SERVICE DISTRICT OF THE PARISH OF CONCORDIA, STATE OF LOUISIANA, AND ITS FACILITIES AND SERVICES.","Shall the Parish of Concordia, State of Louisiana (the ""Parish""), under the provisions of Article VI, Section 29 of the Constitution of the State of Louisiana of 1974 and other constitutional and statutory authority supplemental thereto, be authorized to continue to levy and collect a tax of one-fourth of one percent (1/4%) (the ""Tax"") upon the sale at retail, the use, the lease or rental, the consumption, and the storage for use or consumption, of tangible personal property and on sales of service in the Parish, as defined by law, for a period of ten (10) years, from and after July 1, 2005, with the proceeds of the Tax (after paying reasonable and necessary costs and expenses of collecting and administering the Tax) to be dedicated and used for the purpose of extending, improving, maintaining and/or operating the Parishwide Hospital Service District of the Parish of Concordia, State of Louisiana, and its facilities and services?",901,223,80.16,-1,-1,Pass
2005-01-15,16,De Soto,3781,Town of Stonewall -- 10 Mill - Mayor & Council Members - 10 Yr.,"TOWN OF STONEWALL PROPOSITION  SUMMARY:  10 YEAR, 10 MILL PROPERTY TAX TO PROVIDE FUNDING FOR THE CONSTRUCTION AND IMPROVEMENTS OF ROADS IN THE TOWN OF STONEWALL.","Shall the Town of Stonewall, State of Louisiana (the ""Town"") levy and collect a ten (10) mill tax on all the property subject to taxation in the Town for a period of ten (10) years, beginning with the year 2005 and ending with the year 2014, for the purpose of providing funding and pay for the construction and improvements of roads in the Town, including the purchase of necessary equipment and related storage facilities? uipment and recreational programs therefor?",144,144,50.0,-1,-1,Fail
2005-01-15,18,East Carroll,3782,Parishwide -- 2.5 Mills - Police Jury - 5 Yrs.,"PARISHWIDE PROPOSITION  SUMMARY:   5 YEAR, 2.5 MILLS PROPERTY TAX TO BE USED FOR OPERATING, MAINTAINING AND SUPPORTING THE LOUISIANA COOPERATIVE EXTENSION PROGRAM FOR EAST CARROLL PARISH, INCLUDING PROVIDING NECESSARY OFFICE FACILITIES, EQUIPMENT AND SUPPLIES THEREFOR, WITH NO MORE THAN 3 PERCENT OF THE ANNUAL PROCEEDS OF THE TAX TO BE RETAINED BY THE EAST CARROLL POLICE JURY FOR ITS COST OF ADMINISTERING THE TAX.","Shall the Parish of East Carroll, State of Louisiana (the ""Parish""), levy a two and five-tenths (2.5) mills tax (the ""Tax"") on all the property subject to taxation within the Parish for a period of five (5) years, beginning with the year 2005 and ending with the year 2009, for the purpose of operating, maintaining and supporting the Louisiana Cooperative Extension Program for the Parish, including providing necessary office facilities, equipment and supplies therefor, with no more than three (3) percent of the annual proceeds of the Tax to be retained by the East Carroll Police Jury for its cost of administering the Tax?",867,358,70.78,-1,-1,Pass
2005-01-15,18,East Carroll,3783,Town of Lake Providence -- 1% S&U - Mayor & BOA - 10 Yr.,"TOWN OF LAKE PROVIDENCE PROPOSITION (SALES TAX)  SUMMARY:  AUTHORITY FOR THE TOWN OF LAKE PROVIDENCE TO LEVY A 1% SALES AND USE TAX FOR 10 YEARS TO BE USED FOR THE IMPROVEMENT, MAINTENANCE, AND/OR REPAIR OF PUBLIC STREETS WITHIN THE CORPORATE LIMITS OF THE TOWN, INCLUDING BUT NOT LIMITED TO THE ACQUISITION, MAINTENANCE, AND REPAIR OF EQUIPMENT FOR SUCH PURPOSE.","Shall the Town of Lake Providence, State of Louisiana (the ""Town""), under the provisions of Article VI, Section 29 of the Constitution of the State of Louisiana of 1974, and other constitutional and statutory authority, be authorized to levy and collect a tax of one percent  (1%) (the ""Tax""), upon the sale at retail, the use, the lease or rental, the consumption, and the storage for use or consumption, of tangible personal property and on sales of services in the Town, all as defined by law, for a period of ten (10) years from the date of the first levy of the Tax, with the proceeds of the Tax (after paying the reasonable and necessary costs and expenses of collecting and administering the Tax), to be dedicated and used for the improvement, maintenance, and/or repair of public streets within the corporate limits of the Town, including but not limited to the acquisition, maintenance, and repair of equipment for such purpose?",588,280,67.74,-1,-1,Pass
2005-01-15,20,Evangeline,3784,Evang.-Ville Platte Rec. -- 3.5 Mills - BOC - 20 Yr.,"EVANGELINE-VILLE PLATTE RECREATION DISTRICT PROPOSITION  SUMMARY:  20 YEAR SPECIAL TAX OF 3.5 MILLS FOR THE PURPOSE OF ACQUIRING SITES FOR AND CONSTRUCTING, IMPROVING, MAINTAINING AND OPERATING THE RECREATIONAL FACILITIES OF THE DISTRICT.","Shall the Evangeline-Ville Platte Recreation District, Parish of Evangeline, State of Louisiana (the ""District""), levy, assess and collect annually a special tax of 3.5 mills on the dollar of assessed valuation of all the property situated within the limits of the District for a period of twenty years, commencing in the year 2005, and ending in the year 2024, for the purpose of acquiring, constructing, improving, maintaining and operating a baseball park, basketball facility, tennis facility, and soccer facility including related buildings in connection therewith; and other permanent works of public improvement; and shall the District be further authorized to fund the proceeds of the Tax into bonds from time to time for any one or more capital purposes, to the extent and in the manner permitted by the law of Louisiana?",651,1505,30.19,-1,-1,Fail
2005-01-15,25,Jackson,3785,Law Enforcement District -- PW - 8.43 Mill-Sheriff & ex officio Chief Ex.,"LAW ENFORCEMENT DISTRICT PROPOSITION (TAX CONTINUATION)  SUMMARY:   10 YEAR, 8.43 MILLS PROPERTY TAX CONTINUATION FOR PROVIDING ADDITIONAL FUNDING FOR THE LAW ENFORCEMENT DISTRICT.","Shall the Law Enforcement District of the Parish of Jackson, State of Louisiana (the ""District""), be authorized to levy an eight and forty-three hundredths (8.43) mills tax on all the property subject to taxation in the District for a period of ten (10) years, beginning with the year 2006 and ending with the year 2015, for the purpose of providing additional funding for the District?",1266,206,86.01,-1,-1,Pass
2005-01-15,26,Jefferson,3786,Stonebridge Subd. Special -- Security Enhance. Tax - Par. Council- 10 Yr.,"STONEBRIDGE SUBDIVISION SPECIAL DISTRICT PROPOSITION  SUMMARY:  AUTHORIZATION FOR STONEBRIDGE SUBDIVISION SPECIAL DISTRICT, PARISH OF JEFFERSON, STATE OF LOUISIANA (""DISTRICT"") TO LEVY FOR A PERIOD OF TEN (10) YEARS, COMMENCING IN 2005, A SECURITY ENHANCEMENT TAX TO BE ASSESSED AGAINST EACH PARCEL OF IMPROVED IMMOVABLE PROPERTY LISTED AND/OR ASSESSED ON THE TAX ROLLS OF THE PARISH OF JEFFERSON AND LOCATED IN THE DISTRICT, SAID TAX TO BE IN LIEU OF THE TAX AUTHORIZED AT AN ELECTION HELD IN THE DISTRICT ON  NOVEMBER 15, 1997.","Shall Stonebridge Subdivision Special District, Parish of Jefferson, State of Louisiana (""District"") be authorized to levy and collect on each parcel of improved immovable property listed and/or assessed on the tax rolls of the Parish of Jefferson and located in the District, to be collected by the Sheriff of the Parish of Jefferson, an annual security enhancement tax (""Tax"") for a period of ten (10) years commencing in 2005, said Tax initially to be in the amount of Three Hundred Twenty Dollars ($320.00) to be levied in 2005 and thereafter said Tax shall increase by two and one-half percent (2.5%) per year until the expiration of the Tax, and the proceeds of the Tax (after deducting the reasonable and necessary costs of collecting the Tax) shall be used for the purpose of purchasing, acquiring, constructing and improving, or leasing, maintaining and operating machinery and equipment and other facilities to be used, and paying other expenses incurred or contracting for services to be rendered in connection with providing security enhancement services to the District, said Tax to be in lieu of the tax authorized at an election held in the District on November 15, 1997?",208,170,55.03,-1,-1,Pass
2005-01-15,27,Jefferson Davis,3787,Fire Protection Dist. #6 -- 5.53 Mills - BOC - 10 Yr.,"FIRE PROTECTION DISTRICT NO. 6 PROPOSITION  (TAX CONTINUATION)  SUMMARY:  10 YEAR 5.53 MILLS PROPERTY TAX CONTINUATION FOR FIRE PROTECTION INCLUDING CONSTRUCTING, IMPROVING, MAINTAINING AND OPERATING THE DISTRICT'S FIRE PROTECTION FACILITIES.","Shall Fire Protection District No. 6 of the Parish of Jefferson Davis, State of Louisiana (the ""District""), be authorized to continue to levy a special tax of five and fifty-three hundredths (5.53) mills tax on all the property subject to taxation within the District, for a period of ten (10) years beginning with the year 2005 and ending with the year 2014, for the purpose of fire protection, including constructing, improving, maintaining and operating fire protection facilities, title to which shall be in the public?",178,22,89.0,-1,-1,Pass
2005-01-15,29,Lafourche,3788,City of Thibodaux -- Rededication of Existing Tax - City Cncl.,"CITY OF THIBODAUX PROPOSITION (1967 SALES TAX REDEDICATION)  SUMMARY:  AUTHORITY TO REDEDICATE THE 1% SALES AND USE TAX PREVIOUSLY AUTHORIZED BY AN ELECTION HELD ON MAY 2, 1967, TO INCREASE THE MAXIMUM PERCENTAGE OF REVENUES THAT MAY BE APPROPRIATED TO THE GENERAL FUND AFTER MAKING ALL REQUIRED BOND PAYMENTS.","Shall the City of Thibodaux, State of Louisiana, having been previously authorized at an election held on May 2, 1967, to levy a one percent (1%) sales and use tax (the ""Tax""), after providing for (i) principal, interest and reserve requirements in connection with the issuance and payment of all sales and use tax bonds of the City heretofore or hereafter sold and issued by said City or (ii) bonds issued in accordance with law to refund such bonds, secured by and payable from the avails or proceeds of said Tax, then shall said City be authorized to appropriate, dedicate and use 100% of the remaining revenues derived from the Tax and any unspent revenue heretofore received for the purpose of supplementing the general fund revenues of the City and for the capital improvements purposes set forth in the May 2, 1967 proposition approving the levy of the Tax?",175,159,52.4,-1,-1,Pass
2005-01-15,31,Lincoln,3789,City of Grambling -- 32 Mills (35%/65%) - Mayor & Councilmen,"CITY OF GRAMBLING PROPOSITION (MILLAGE REDEDICATION)  SUMMARY: AUTHORITY FOR THE CITY OF GRAMBLING TO REDEDICATE 35% OF THE PROCEEDS TO BE COLLECTED FROM THE LEVY OF ITS SPECIAL TAX OF 32 MILLS IN THE YEARS 2005 THROUGH 2009, INCLUSIVE, FOR ACQUIRING, CONSTRUCTING, IMPROVING, MAINTAINING AND OPERATING WORKS OF PUBLIC IMPROVEMENT FOR THE CITY WITH THE REMAINING 65% OF THE PROCEEDS OF THE TAX TO CONTINUE TO BE USED FOR PROVIDING ADDITIONAL SUPPORT TO THE CITY FIRE DEPARTMENT, SAID TAX BEING AUTHORIZED TO BE LEVIED ON ALL PROPERTY SUBJECT TO TAXATION IN THE CITY IN THE YEARS 2000 THROUGH 2009, INCLUSIVE, PURSUANT TO AN ELECTION HELD ON JANUARY 15, 2000.","Shall the City of Grambling, State of Louisiana (the ""City""), be authorized to rededicate thirty-five percent (35%) of the proceeds to be collected by the City from the levy of its special tax of thirty-two (32) mills (the ""Tax"") in the years 2005 through 2009, inclusive, for the purpose of acquiring, constructing, improving, maintaining and operating works of public improvement for the City with the remaining 65% of the proceeds of the Tax to continue to be used for providing additional support to the City Fire Department, said Tax being authorized to be levied on all property subject to taxation in the City in the years 2000 through 2009, inclusive, pursuant to an election held on January 15, 2000?",199,32,86.15,-1,-1,Pass
