pair_id,state,ballot_text,doc_use_labels
019744342b,TX,Stadium,"Deposit to Construction Fund | Deposit to Interest and Sinking Fund | Underwriters' Discount | Costs of Issuance | constructing, renovating, acquiring, and equipping school fa | paying for professional services associated with the costs o"
0197575250,TX,School Building & Buses,"Deposit to Construction Fund | Costs of Issuance | constructing, renovating, improving and equipping school bui | construction, acquisition and equipping of a new stadium com | pay costs of issuance of the Bonds | Proceeds from the sale of the Bonds will be used (i) for the"
01a0d22720,TX,Parks & Recreation,"The North Padre Island Storm Damage Reduction and Environmen | In addition to the Packery Channel, the Project includes con | approximately $700,000 for recreation improvements | $800,000 for parking costs | to establish a maintenance reserve | The North Padre Island Storm Damage Reduction and Environmen"
01b86990f9,TX,Athletic Facilities Improvements,"Deposit to Construction Fund | Underwriters’ Discount | Costs of Issuance and Contingency | construction, acquisition and equipment of school buildings  | renovation, improvement, repair and equipment of athletic st | costs of issuing the Bonds"
01bb31ff20,TX,School  Building,"Deposit to Project Fund | Underwriters’ Discount | Costs of Issuance1 | Additional Proceeds | Deposit to Project Fund ($50,000,000) | Costs of Issuance1 ($184,190)"
01c694be95,TX,Sports Complex,Deposit to Construction Fund | Gross Bond Insurance Premium | Costs of Issuance | Original Issue Discount | Deposit to Debt Service Fund | construction of improvements to the City’s combined Waterwor
01ca98bf8b,WI,"District-wide safety and site improvements, building updates and capital maintenance; renovations, including for technical education, science and art classrooms","Deposit to Project Construction Fund | Underwriter’s Discount (including Costs of Issuance) | Bid Premium for Deposit to Debt Service Fund | district-wide safety and site improvements, building updates | Underwriter’s Discount (including Costs of Issuance) ($237,5 | Bid Premium for Deposit to Debt Service Fund ($184,821)"
01d5dc584a,WI,"School building and improvement program at Mukwonago High School BE IT RESOLVED by the School Board of the Mukwonago Area School District, Waukesha and Walworth",Deposit to Project Construction Fund | Bid Premium for Deposit to Debt Service Fund | Costs of Issuance (including Underwriter’s Discount) | paying a portion of the cost of a school building and improv | Bid Premium for Deposit to Debt Service Fund | Costs of Issuance (including Underwriter’s Discount)
01e7c8ac10,TX,fire station,"acquiring vehicles for City water and sewer, street improvem | acquiring equipment for administrative, parks, water and sew | acquiring communications equipment for emergency services, p | acquiring and installing computer and electronic equipment f | acquiring, constructing and improving City communications fa | constructing and improving City parks and recreational facil"
01f332086e,TX,Road and Bridge,"constructing and equipping a new purchasing warehouse | constructing, improving, renovating and equipping County adm | constructing and improving County roads, including bridge co | constructing and equipping a new medical examiner facility | paying professional and engineering fees related to the abov | constructing and improving county parks and the acquisition "
0203e786be,TX,Technology,"the construction, acquisition, renovation and equipment of s | the acquisition, improvement and upgrading of technology, in | the design, construction, acquisition, rehabilitation, renov | the design, construction, acquisition, rehabilitation, renov | capitalized interest | the payment of costs of issuance related to the Bonds"
0207b6809f,TX,Athletic Facility,"Deposit to Construction Fund | Accrued Interest | Underwriter’s Discount | Costs of Issuance | Additional Proceeds | construction, acquisition and equipment of school buildings,"
0212e099cd,TX,Technology,"designing, constructing, renovating, improving, upgrading, u | renovating, improving, upgrading, updating, acquiring, and e | acquiring and updating technology equipment | the payment of the costs associated with the issuance of the | Proceeds from the sale of the Bonds will be used for (i) des"
021a505c1d,TX,Park,"constructing, improving and equipping municipal parks and re | acquiring, constructing and equipping a public conference, m | legal, fiscal and engineering fees in connection with such p | Proceeds from the sale of the 2015A Certificates will be use"
022247b9e3,TX,Library,"improvements to existing City administration and services bu | improvements to City airport facilities, including in each c | improvements to parks and recreational facilities including  | construction and acquisition of, and improvements to, City s | the acquisition of vehicular, fire-fighting and radio equipm | professional services incurred in connection with items (1) "
0225dff774,WI,"Repair/Replace School Buildings Be it Resolved by the School Board of the Unified School District of Marshfield, Clark, Marathon and Wood counties, Wisconsin th",Deposit to Project Fund | Deposit to Debt Service Fund | funding the cost of maintenance projects and acquiring equip | Total Underwriter’s Discount (includes issuance costs) | Deposit to Debt Service Fund | The Notes are being issued for the purpose of funding the co
025db25127,TX,Technology,"Deposit to Construction Fund | Deposit to Interest and Sinking Fund for Capitalized Interes | Underwriters’ Discount | Costs of Issuance (1) | construction, acquisition, and equipment of school buildings | construction, acquisition and equipment of a multi-purpose e"
02647e6039,TX,Road,"Project Fund | Costs of Issuance | Underwriter's Discount | Deposit of Capitalized Interest | Accrued Interest | construct, purchase, maintain and/or operate macadamized, gr"
026f426e2e,TX,School Building & Security,"Deposit to Construction Fund | Underwriters’ Discount | Costs of Issuance and Contingency(1) | construction, acquisition, rehabilitation, renovation, expan | paying the costs of issuance related to the Bonds | Proceeds from the sale of the Bonds will be used for the pur"
0289ca69a9,TX,School Building,construction and equipment of school buildings | purchase of new school buses | teacher housing | pay costs related to the issuance of the Bonds | Proceeds from the sale of the Bonds will be used (1) for the
0291a8a85f,CA,K-12 School Facility WV,"finance the acquisition, construction, modernization and equ | pay the costs of issuing the Bonds | to (i) finance the acquisition, construction, modernization "
02b7c98aa1,TX,School Building & Security,Construction Fund Deposit | Costs of Issuance | Underwriters' Discount | Construction Fund Deposit | Costs of Issuance | Underwriters' Discount
02cb48a2d0,TX,Athletic Facilities Improvements,"designing, constructing, renovating, improving, upgrading, u | to fund capitalized interest on the Bonds | to pay costs of issuance related to the Bonds | Proceeds from the sale of the Bonds will be used (i) for des"
02f87dc57c,CA,Health Care Facilities F,"Underwriter's discount | purchase price of the Certificates | Only facilities associated with the General Studies curricul | Underwriter's discount ($73,000) | Only facilities associated with the General Studies curricul"
03003f9fe2,TX,Road,"Deposit to Project Fund | Underwriter's Discount | Deposit to Debt Service Reserve Fund | Costs of Issuance | the construction, renovation, and equipment of a public reso | the construction, renovation and equipment of recreational p"
031dae9d0e,TX,Park,Deposit to the Project Fund | Deposit to Debt Service Fund (1) | Initial Purchaser's Discount | Costs of Issuance | Deposit to the Project Fund | Costs of Issuance
036fa20db7,TX,"Justice Center:  construction, acquisition of and improvements to county facilities",Deposit to Project Fund: | Costs of Issuance | Underwriters' Discount | Deposit to Project Fund: | Costs of Issuance | Underwriters' Discount
0370e532f2,TX,Athletic Facilities Improvements,"Deposit to Construction Fund | Costs of Issuance | Purchaser’s Discount | Deposit to Interest and Sinking Fund | constructing, renovating and equipping school facilities con | Costs of Issuance"
03b10eadb8,TX,Recreation,CONSTRUCTION COSTS District's Share | A. Developer Contribution Items | B. District Items | 1. WWTF Rehabilitation Phase 1 | 2. WWTF Electrical Upgrades | 3. Water Plant No. 3 Electrical Upgrades
03b1fdf622,TX,Library,"Deposit to Construction Fund | Underwriters' Discount | Cost of Issuance | designing, developing, constructing, improving, extending, a | acquiring, developing, renovating, and improving parks and o | designing, constructing, reconstructing, improving, renovati"
03dd043288,TX,Natatorium,"Deposit to Construction Fund | Costs of Issuance | Underwriters’ Discount | design, construction, acquisition, rehabilitation, renovatio | the purchase of new school buses | the design, construction, acquisition, rehabilitation, renov"
