file_stem,url,retrieved,http_status,bytes,sha256,note
MN_475-58,https://www.revisor.mn.gov/statutes/cite/475.58,2026-08-25,200,324432,b2919d9fe093372bd192d2a915bf4c889253e5872d09444d5d12909e320dccc6,Minn. Stat. 475.58 (election required; enumerated exceptions)
IA_384-24,https://www.legis.iowa.gov/docs/code/384.24.pdf,2026-08-25,200,61287,9f03c314481851b8eb724f1928213e919ad4f1c0fb1d15cf61ae05a01b80405c,Iowa Code 384.24 (definitions; essential vs general corporate purpose)
IA_384-25,https://www.legis.iowa.gov/docs/code/384.25.pdf,2026-08-25,200,39202,6fd6d0387088ba9582fb1e2d53d82c554b515f201e78b30bca060e6416953b21,Iowa Code 384.25 (essential corporate purpose bonds; no election)
IA_384-26,https://www.legis.iowa.gov/docs/code/384.26.pdf,2026-08-25,200,42185,59d747f4f0583000ee7f16bc4f062cb9bfb5048d299ff1cfcf3830e45f57611a,Iowa Code 384.26 (general corporate purpose bonds; 60% election)
IN_6-1.1-20_lawserver,https://www.lawserver.com/law/state/indiana/in-code/indiana_code_6-1.1-20,2026-08-25,200,126472,bbb60cae37a67a5edd9c60d9244c26d662c2d239d0be74c99c641a7081497f0f,IC 6-1.1-20 chapter index (controlled projects; petition/remonstrance and referendum) -- iga.in.gov is a JS app that blocks automated retrieval
IN_6-1.1-20-3.5_lawserver,https://www.lawserver.com/law/state/indiana/in-code/indiana_code_6-1.1-20-3.5,2026-08-25,200,205288,4fd9d5773c3fde322bfbabe69068b7c71df004b4673f6991a169c480019a88d5,IC 6-1.1-20-3.5 (referendum threshold provision)
NV_NRS_ch350,https://www.leg.state.nv.us/NRS/NRS-350.html,2026-08-25,200,1398273,10a5b65b17ff949896c38b2955c9084e8da5e0f29e78ba1651fc4b86301f9904,NRS ch. 350 (municipal obligations; debt commission path vs voted GO)
PA_53PaCS_ch80,https://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/53/00.080..HTM,2026-08-25,200,166856,23b9169caa72b51055b0a33fc712377eea6ba2e40e805d605fc42b164b75069a,53 Pa.C.S. ch. 80 (LGUDA: nonelectoral vs electoral debt) -- retried with extended timeout
NY_LFN_33.00,https://newyork.public.law/laws/n.y._local_finance_law_section_33.00,2026-08-25,200,159501,802820264285621ec14ef9db7ca8645e6021ee2bf4069a2ff278bb066d912f6d,N.Y. Local Finance Law 33.00 (bond resolution; vote requirements)
NY_LFN_35.00,https://newyork.public.law/laws/n.y._local_finance_law_section_35.00,2026-08-25,200,171840,ba96f5b12332fb77e1624de1c08d45a93578efdafecd679050c46759a5b4635c,N.Y. Local Finance Law 35.00 (permissive referendum on petition)
NY_LFN_36.00,https://newyork.public.law/laws/n.y._local_finance_law_section_36.00,2026-08-25,200,170063,53a908d97fae3f75eed4aaf39bb3f52407b7f531b1d06ca729f8d1f6d9aef5e6,N.Y. Local Finance Law 36.00 (referendum mechanics)
NY_LFN_37.00,https://newyork.public.law/laws/n.y._local_finance_law_section_37.00,2026-08-25,200,164824,d66417144f34c2524128d4922b98865562fb127646e09d7b2b35c72d6c08c6a7,N.Y. Local Finance Law 37.00 (mandatory referendum cases)
KS_ch10_index,https://www.ksrevisor.gov/statutes/ksa_ch10.html,2026-08-25,200,307816,d5c32d99da8cfc7f05a7bfc468d940ed3f107a6ed17262734a983277fb12c086,K.S.A. ch. 10 (bonds and warrants) -- official section index
KS_10-101,https://www.ksrevisor.gov/statutes/chapters/ch10/010_001_0001.html,2026-08-25,200,94891,cb297dd8a9756bc1e594fa6ea4595623544775bd35159f6546ab5f905bac5f5b,K.S.A. 10-101 (general bond law; election provisions entry point)
CT_CGS_ch109,https://www.cga.ct.gov/current/pub/chap_109.htm,2026-08-25,200,387428,edabfd6e352858bd588721a4b07f23c54f949878e71f434b60ccb85bd18a1382,C.G.S. ch. 109 (municipal bond issues; 7-369 ff.; charter-dependence)
RI_45-12_index,https://webserver.rilegislature.gov/Statutes/TITLE45/45-12/INDEX.htm,2026-08-25,200,63086,dbe2770924358131b5730f114dada0c6f21065f3f7918dc597447b0cdf66f267,R.I. Gen. Laws ch. 45-12 (indebtedness of towns and cities) -- section index
RI_45-12-2,https://webserver.rilegislature.gov/Statutes/TITLE45/45-12/45-12-2.htm,2026-08-25,200,27457,9073579f9bc5a631bbf451e6847dfdde62fc14774ae9250325064b6e855167d0,R.I. Gen. Laws 45-12-2 (maximum indebtedness; charter/enabling-act structure)
MD_LocalGovt_19-301,https://mgaleg.maryland.gov/2025RS/Statute_Web/glg/19-301.pdf,2026-08-25,200,224398,3b47330bea0a1ee8055a0269a796da777db5101048c72019506738f4793b714c,"Md. Code, Local Gov't 19-301 (municipal borrowing authority; charter structure) -- official PDF; StatuteText web page is a JS shell"
DE_title22_index,https://delcode.delaware.gov/title22/index.html,2026-08-25,200,73915,1fac1725b2efc3f1e835ad0836c8e4a9be2bf2dbc66a6d97a7e65934dbbf6b47,22 Del. C. -- municipalities title index (charter-by-charter structure)
DE_title22_c008,https://delcode.delaware.gov/title22/c008/index.html,2026-08-25,200,66250,b28406b1d568e599fe0c4ffbeb4ae00a43590fea11933a7e9481cbc17d828889,22 Del. C. ch. 8 (municipal borrowing provisions)
HI_Const_full,https://lrb.hawaii.gov/constitution,2026-08-25,200,469453,48322fe9668e9b55f90d6e002d3e3293c5f65653a688afa08143117849cc2c7f,Haw. Const. (art. VII: taxation and finance; county debt) -- LRB full text
HI_HRS_ch47_index,https://data.capitol.hawaii.gov/hrscurrent/Vol02_Ch0046-0115/HRS0047/HRS_0047-.htm,2026-08-25,200,45976,247a6597e4e94902140616ea2fd06b6a305a4174b854ae9246bc7d66342d74ac,HRS ch. 47 (county bonds) -- official section index
VT_24VSA_1755,https://legislature.vermont.gov/statutes/section/24/053/01755,2026-08-25,200,271567,c28e0edb435332e7713edd9e38d2146d04ba1125aeccfc65044766637353f567,24 V.S.A. 1755 (Vermont town bond vote -- town-meeting column)
CT_CGS_ch98_7-194,https://www.cga.ct.gov/current/pub/chap_098.htm,2026-08-25,200,1236163,13d7b606ea498f2883d6c576b5d06f6f01a9005e53b96309d1ac52c0945a62aa,C.G.S. ch. 98 (municipal powers; town-meeting structure -- township column)
